iter	RMSE
306	1.854210826
307	1.849958244
308	1.847858484
309	1.844075896
310	1.841167309
311	1.83765705
312	1.834480888
313	1.831168522
314	1.827253369
315	1.823453863
316	1.821224406
317	1.81837187
318	1.813949688
319	1.809598072
320	1.804619714
321	1.800068021
322	1.79708155
323	1.794221887
324	1.79132606
325	1.788706855
326	1.787577345
327	1.784409027
328	1.782115304
329	1.778943753
330	1.776880751
331	1.773466948
332	1.768862634
333	1.76388083
334	1.761185207
335	1.758248781
336	1.755588014
337	1.752971404
338	1.749095377
339	1.746948434
340	1.744894418
341	1.741185195
342	1.738115164
343	1.734668508
344	1.731981432
345	1.730190578
346	1.727570289
347	1.724118772
348	1.720288615
349	1.718001162
350	1.716025836
351	1.712133596
352	1.708757849
353	1.704345518
354	1.702033681
355	1.700197254
356	1.696319557
357	1.694005385
358	1.691202982
359	1.688583268
360	1.685715548
361	1.683919503
362	1.68073786
363	1.678287215
364	1.67606667
365	1.672848647
366	1.671042397
367	1.665831701
368	1.664722319
369	1.662155761
370	1.660014862
371	1.657121822
372	1.654656723
373	1.652174796
374	1.649487599
375	1.647158419
376	1.644737257
377	1.641154288
378	1.638931839
379	1.635818872
380	1.632896287
381	1.629077554
382	1.626236444
383	1.624123172
384	1.621954675
385	1.61892349
386	1.615905643
387	1.612070754
388	1.610674514
389	1.607742906
390	1.604837223
391	1.602743232
392	1.600537511
393	1.598487108
394	1.594982477
395	1.591633852
396	1.589022878
397	1.58636025
398	1.584286095
399	1.58053747
400	1.576812947
401	1.574303266
402	1.570213192
403	1.566919483
404	1.564952222
405	1.563571226
406	1.561399216
407	1.558568284
408	1.556758479
409	1.554227467
410	1.552390111
411	1.549373994
412	1.547132874
413	1.544377259
414	1.542592555
415	1.541439482
416	1.539043667
417	1.536826936
418	1.53455175
419	1.532832571
420	1.528635478
421	1.527760628
422	1.524923387
423	1.523118443
424	1.520286167
425	1.518468519
426	1.517048704
427	1.515564148
428	1.512481801
429	1.510169177
430	1.508870377
431	1.507155237
432	1.505676663
433	1.503946942
434	1.501711262
435	1.499431007
436	1.496857572
437	1.494007328
438	1.491817503
439	1.489717159
440	1.488731817
441	1.487201544
442	1.485015909
443	1.482988775
444	1.481430225
445	1.480128045
446	1.477577654
447	1.476426819
448	1.474892759
449	1.471935788
450	1.470184352
451	1.468810774
452	1.467042513
453	1.464452276
454	1.462820871
455	1.461931617
456	1.460827955
457	1.459009586
458	1.457416056
459	1.455616125
460	1.45415901
461	1.451351659
462	1.44829196
463	1.444946807
464	1.443157671
465	1.441746577
466	1.439196395
467	1.437756132
468	1.436211104
469	1.43401643
470	1.431837885
471	1.429673712
472	1.427321245
473	1.425416924
474	1.423771094
475	1.421979098
476	1.420803577
477	1.419234815
478	1.4174997
479	1.415230115
480	1.413196315
481	1.411480392
482	1.409403508
483	1.407062114
484	1.403380302
485	1.40063738
486	1.398995149
487	1.396729469
488	1.395430879
489	1.393891598
490	1.392537045
491	1.391319149
492	1.389509176
493	1.386866762
494	1.384472596
495	1.382465436
496	1.380819961
497	1.378950551
498	1.377359727
499	1.376542009
500	1.374833722
501	1.373007988
502	1.371115435
503	1.369837055
504	1.368462705
505	1.36722598
506	1.365151407
507	1.362952429
508	1.361468824
509	1.359425404
510	1.358732707
511	1.357388025
512	1.356699681
513	1.354894112
514	1.353594497
515	1.352255342
516	1.350894378
517	1.350123183
518	1.349169773
519	1.34774312
520	1.345181218
521	1.343146088
522	1.341883835
523	1.340121519
524	1.338502913
525	1.336796229
526	1.33485468
527	1.332240799
528	1.330939778
529	1.328911064
530	1.328065276
531	1.326348944
532	1.325080463
533	1.322922389
534	1.321338308
535	1.319376026
536	1.317494737
537	1.316298532
538	1.315638893
539	1.313575822
540	1.312108916
541	1.31076591
542	1.308740928
543	1.308291446
544	1.306633194
545	1.305235805
546	1.30476567
547	1.303567531
548	1.300950096
549	1.300184922
550	1.299167503
551	1.298540119
552	1.29682135
553	1.295174604
554	1.29329162
555	1.290877366
556	1.289590185
557	1.287681959
558	1.286291104
559	1.284956251
560	1.283955852
561	1.283328351
562	1.282116782
563	1.280801903
564	1.27980834
565	1.277610803
566	1.276170094
567	1.275177983
568	1.274437196
569	1.273563606
570	1.27318009
571	1.271921768
572	1.271130309
573	1.270515786
574	1.270082256
575	1.268925897
576	1.267390383
577	1.26622961
578	1.264785411
579	1.263457807
580	1.262199954
581	1.260530463
582	1.259632977
583	1.258862601
584	1.257361089
585	1.255601795
586	1.254223574
587	1.252757174
588	1.251197523
589	1.250130784
590	1.247394335
591	1.245774016
592	1.244562428
593	1.243288673
594	1.242230833
595	1.240622124
596	1.238406427
597	1.236041865
598	1.234538583
599	1.234031196
600	1.232397875
601	1.231870239
602	1.230188261
603	1.229020417
604	1.2277292
605	1.226908854
606	1.22603932
607	1.2246761
608	1.224198704
609	1.222153341
610	1.220270962
611	1.218291965
612	1.214977474
613	1.213313537
614	1.210188667
615	1.209134033
616	1.20788705
617	1.20722551
618	1.205191042
619	1.203570689
620	1.202384706
621	1.201563512
622	1.199333567
623	1.198103897
624	1.197043566
625	1.195725324
626	1.19462688
627	1.192377921
628	1.191529266
629	1.190961194
630	1.189607265
631	1.188852819
632	1.186994712
633	1.185494497
634	1.184099594
635	1.182917285
636	1.181153117
637	1.180598999
638	1.178798747
639	1.177209927
640	1.175349379
641	1.173579276
642	1.171373466
643	1.170422456
644	1.169450725
645	1.167255402
646	1.165279831
647	1.163700662
648	1.162771357
649	1.161104401
650	1.15975715
651	1.158100713
652	1.15651913
653	1.154861376
654	1.154107439
655	1.152698142
656	1.150208776
657	1.148265552
658	1.147195624
659	1.145530686
660	1.144763237
661	1.143266254
662	1.141598354
663	1.140118534
664	1.138453892
665	1.136855672
666	1.13512831
667	1.133329238
668	1.132561162
669	1.131659533
670	1.130202881
671	1.128383139
672	1.126436701
673	1.125578046
674	1.12459697
675	1.124100971
676	1.123182447
677	1.122511183
678	1.120915739
679	1.119981562
680	1.118467472
681	1.116743515
682	1.114821002
683	1.114370105
684	1.112741353
685	1.111930796
686	1.111501674
687	1.109502726
688	1.107860817
689	1.106472873
690	1.105495733
691	1.104109284
692	1.102155068
693	1.101307851
694	1.09959493
695	1.098342989
696	1.097310357
697	1.096190105
698	1.095330117
699	1.094555157
700	1.092703434
701	1.091314578
702	1.089782314
703	1.088296716
704	1.08729435
705	1.085912336
706	1.084856204
707	1.08355165
708	1.082016154
709	1.080245957
710	1.07939877
711	1.078002859
712	1.076450486
713	1.075895432
714	1.075133708
715	1.074258709
716	1.073286587
717	1.071182787
718	1.070381032
719	1.068894711
720	1.067595725
721	1.065994999
722	1.065082087
723	1.064426471
724	1.062997612
725	1.061411862
726	1.059529201
727	1.058566055
728	1.056764957
729	1.055769808
730	1.055185917
731	1.053587776
732	1.052457198
733	1.051483405
734	1.050278925
735	1.048315519
736	1.046827087
737	1.045678839
738	1.044079303
739	1.043826506
740	1.042828702
741	1.0424969
742	1.041178703
743	1.039800517
744	1.039189126
745	1.038388143
746	1.037095339
747	1.036016012
748	1.035197742
749	1.034754216
750	1.03425696
751	1.032192837
752	1.030343339
753	1.029542928
754	1.029157821
755	1.028462636
756	1.027724998
757	1.026317417
758	1.02520978
759	1.023972395
760	1.022413125
761	1.020996611
762	1.02025087
763	1.018917222
764	1.017920773
765	1.017023324
766	1.016634431
767	1.015717759
768	1.014545813
769	1.013613619
770	1.012971307
771	1.012298774
772	1.010362011
773	1.009585877
774	1.008948383
775	1.008142803
776	1.007065984
777	1.006563542
778	1.005472397
779	1.004475754
780	1.004276027
781	1.001615349
782	1.000031449
783	0.999156718
784	0.9981411731
785	0.9969334313
786	0.9955746541
787	0.994155248
788	0.9938222421
789	0.9932457362
790	0.9918485667
791	0.9908370994
792	0.9898229911
793	0.9894097345
794	0.988155584
795	0.9870810371
796	0.9863179349
797	0.9847317931
798	0.9836467121
799	0.982331541
800	0.9814275358
801	0.98064169
802	0.9795672094
803	0.9782972782
804	0.9777347342
805	0.9776054384
806	0.9764560261
807	0.9760753888
808	0.9752810873
809	0.9740147167
810	0.9733613849
811	0.9719999577
812	0.9708357174
813	0.9695899459
814	0.9688053728
815	0.9677423829
816	0.9664678433
817	0.9649432795
818	0.9640699945
819	0.9630169955
820	0.9613177285
821	0.960938306
822	0.959325518
823	0.9586362882
824	0.9572448213
825	0.9568136348
826	0.9554328567
827	0.9547797641
828	0.9539577182
829	0.952967493
830	0.9523163405
831	0.9503654142
832	0.9498338194
833	0.9481371479
834	0.9468889163
835	0.946239259
836	0.9447621472
837	0.9437575694
838	0.9422423955
839	0.9416500382
840	0.9408759001
841	0.9405388519
842	0.9391317198
843	0.9382999032
844	0.9371713216
845	0.9365410005
846	0.9360590977
847	0.9357593059
848	0.9343368252
849	0.9333927803
850	0.9325571056
851	0.9314130958
852	0.9299550994
853	0.9291876573
854	0.9272166667
855	0.9266102201
856	0.9252197422
857	0.9240661411
858	0.9229742077
859	0.9214280998
860	0.9207002821
861	0.9196527835
862	0.9181647891
863	0.9166636451
864	0.9159661643
865	0.9158176809
866	0.9153301437
867	0.9144614413
868	0.9140552067
869	0.9125374581
870	0.9117676845
871	0.9105350454
872	0.9092819407
873	0.9081425958
874	0.9071815547
875	0.9063431647
876	0.9053122241
877	0.9051087504
878	0.904311551
879	0.9039063035
880	0.9035032958
881	0.9024595938
882	0.9016996642
883	0.9015739762
884	0.9005877046
885	0.899417215
886	0.8979811779
887	0.8973732261
888	0.8967564825
889	0.8963881827
890	0.8960177388
891	0.8946463068
892	0.8940676385
893	0.8923299029
894	0.8908546752
895	0.8902794586
896	0.8895335854
897	0.888410477
898	0.8876599275
899	0.8871519262
900	0.8862383451
901	0.8857594481
902	0.8848752407
903	0.8836374276
904	0.8822870346
905	0.8815401477
906	0.8809336133
907	0.8798525624
908	0.8790431552
909	0.8787292607
910	0.8776210225
911	0.8770227002
912	0.8759431114
913	0.8754467577
914	0.8745391194
915	0.8733847063
916	0.8724766069
917	0.8722343109
918	0.871706286
919	0.8702842679
920	0.8696527259
921	0.868502742
922	0.868413043
923	0.8673549294
924	0.8670840778
925	0.8661149483
926	0.8656779282
927	0.8649794894
928	0.8640361207
929	0.8632765744
930	0.8624725066
931	0.8619320569
932	0.8606977056
933	0.8603254017
934	0.8595285794
935	0.8590471236
936	0.8580771861
937	0.8574373172
938	0.8564956913
939	0.8558129665
940	0.8548196625
941	0.8534936145
942	0.8526455731
943	0.8516886715
944	0.8510047565
945	0.8506167722
946	0.8491905099
947	0.8485261084
948	0.8477125371
949	0.8467339292
950	0.8462434776
951	0.8454359666
952	0.84447115
953	0.8438117681
954	0.8428684402
955	0.8421755997
956	0.840836843
957	0.8400560575
958	0.839617315
959	0.8388077922
960	0.8375734705
961	0.8362692983
962	0.8356127702
963	0.8347279406
964	0.8332878857
965	0.8321727129
966	0.8314911801
967	0.8304487609
968	0.8298345002
969	0.829132909
970	0.8280654582
971	0.8274574749
972	0.8265557123
973	0.8259880256
974	0.8252705125
975	0.8249038792
976	0.8235664275
977	0.8230219009
978	0.8223385824
979	0.8220910735
980	0.8212259988
981	0.8205306297
982	0.8195278306
983	0.8190174397
984	0.8186316631
985	0.817502461
986	0.8166457616
987	0.8157467923
988	0.8146860901
989	0.8138307636
990	0.8132950469
991	0.8125781084
992	0.8115678991
993	0.8107408492
994	0.8095400318
995	0.8091575979
996	0.8083144223
997	0.8074324829
998	0.8062370146
999	0.8053251332
